throw_index,timestamp,command_target_x,command_target_y,commanded_speed_mps,aim_point_x,aim_point_y,landing_x,landing_y,error_m,error_x,error_y,measured,refusal,capture_file
0,2026-09-11T02:57:03,0.6988,-0.2976,1.5342,1.1267,-0.4966,1.1114,-0.498,0.0153,-0.0152,-0.0014,1,,throws/throw_20260911_024918_000.npz
1,2026-09-11T02:58:38,0.8065,0.1741,1.6224,1.2763,0.2608,1.313,0.2627,0.0368,0.0367,0.0019,1,,throws/throw_20260911_024918_001.npz
2,2026-09-11T03:00:28,0.7679,-0.0481,1.5532,1.2431,-0.0933,,,,,,0,the ball is still RISING (+2.19 m/s) in the last frame it was detected in (t = 1.424 s),throws/throw_20260911_024918_002.npz
3,2026-09-11T03:01:56,0.7725,-0.1614,1.5832,1.2407,-0.2747,1.2473,-0.2765,0.0068,0.0066,-0.0018,1,,throws/throw_20260911_024918_003.npz
4,2026-09-11T03:03:28,0.7221,0.2309,1.5213,1.1673,0.3573,1.1618,0.3819,0.0252,-0.0056,0.0246,1,,throws/throw_20260911_024918_004.npz
5,2026-09-11T03:04:32,0.7585,0.1273,1.5484,1.228,0.1906,1.2234,0.1985,0.0091,-0.0046,0.0079,1,,throws/throw_20260911_024918_005.npz
6,2026-09-11T03:06:05,0.8055,-0.0095,1.6025,1.2861,-0.03,,,,,,0,no ballistic arc found: the largest set of observations agreeing on one g = 9.81 parabola ,throws/throw_20260911_024918_006.npz
7,2026-09-11T03:06:56,0.7274,0.0892,1.4828,1.1828,0.1294,1.1622,0.1508,0.0297,-0.0206,0.0214,1,,throws/throw_20260911_024918_007.npz
8,2026-09-11T03:07:49,0.6841,0.1976,1.4346,1.1103,0.3047,1.0885,0.3307,0.0339,-0.0218,0.026,1,,throws/throw_20260911_024918_008.npz
9,2026-09-11T03:08:59,0.7863,0.1285,1.5911,1.2629,0.1912,1.264,0.1967,0.0056,0.0011,0.0055,1,,throws/throw_20260911_024918_009.npz
10,2026-09-11T03:09:59,0.7171,0.0438,1.4572,1.168,0.0557,1.1691,0.0662,0.0106,0.0011,0.0105,1,,throws/throw_20260911_024918_010.npz
11,2026-09-11T03:10:55,0.7063,-0.0572,1.4392,1.1498,-0.1088,,,,,,0,the ball is still RISING (+3.16 m/s) in the last frame it was detected in (t = 1.391 s),throws/throw_20260911_024918_011.npz
12,2026-09-11T03:12:38,0.7787,-0.2018,1.6052,1.2437,-0.3378,1.2654,-0.3505,0.0252,0.0217,-0.0128,1,,throws/throw_20260911_024918_012.npz
13,2026-09-11T03:13:26,0.6283,-0.3746,1.4665,1.003,-0.6156,,,,,,0,no ballistic arc found: the largest set of observations agreeing on one g = 9.81 parabola ,throws/throw_20260911_024918_013.npz
14,2026-09-11T03:14:31,0.6872,-0.2608,1.4845,1.1082,-0.4371,,,,,,0,no left/right ball candidates paired in any frame,throws/throw_20260911_024918_014.npz
15,2026-09-11T03:15:18,0.6879,-0.2603,1.4855,1.1093,-0.4363,,,,,,0,the ball is still RISING (+2.63 m/s) in the last frame it was detected in (t = 1.402 s),throws/throw_20260911_024918_015.npz
16,2026-09-11T03:16:17,0.6816,0.1784,1.4227,1.1084,0.2742,1.1271,0.2918,0.0257,0.0187,0.0176,1,,throws/throw_20260911_024918_016.npz
17,2026-09-11T03:18:00,0.6824,0.1783,1.424,1.1096,0.274,1.1195,0.2923,0.0209,0.01,0.0183,1,,throws/throw_20260911_024918_017.npz
18,2026-09-11T03:20:06,0.8051,-0.281,1.6582,1.2528,-0.452,1.2684,-0.4534,0.0157,0.0156,-0.0014,1,,throws/throw_20260911_024918_018.npz
19,2026-09-11T03:21:11,0.7081,-0.0655,1.4438,1.1522,-0.1223,,,,,,0,the ball is still RISING (+2.56 m/s) in the last frame it was detected in (t = 1.447 s),throws/throw_20260911_024918_019.npz
20,2026-09-11T03:22:12,0.7081,0.0211,1.4388,1.1545,0.0187,,,,,,0,the ball is still RISING (+2.25 m/s) in the last frame it was detected in (t = 1.424 s),throws/throw_20260911_024918_020.npz
21,2026-09-11T03:23:13,0.7004,0.1813,1.4575,1.136,0.2782,1.1335,0.2722,0.0065,-0.0025,-0.006,1,,throws/throw_20260911_024918_021.npz
